tag,lang,moss_sim,moss_top1,moss_P_neu,moss_sv,moss_stoi,moss_pesq,moss_sisdr,indextts2_sim,indextts2_top1,indextts2_P_neu,indextts2_sv,indextts2_stoi,indextts2_pesq,indextts2_sisdr
zh_000000,zh,0.8021613359451294,neutral,0.934,neutral,0.9892224073410034,2.2332234382629395,16.883459091186523,0.85545414686203,neutral,0.888,neutral,0.9902496933937073,3.2295730113983154,20.893604278564453
zh_000001,zh,0.6428602933883667,sad,0.028,neutral,0.9289392232894897,1.852574110031128,12.636630058288574,0.7003046274185181,neutral,0.943,neutral,0.8235913515090942,2.0995264053344727,14.623954772949219
zh_000002,zh,0.780683696269989,angry,0.157,neutral,0.9898523688316345,3.6898069381713867,27.24689292907715,0.7984920144081116,angry,0.009,neutral,0.9249403476715088,2.4929652214050293,16.16333770751953
zh_000003,zh,0.6327953934669495,angry,0.008,neutral,0.9788265228271484,3.6136767864227295,21.01792335510254,0.7424328327178955,angry,0.0,angry,0.9719569683074951,3.492978811264038,28.210586547851562
zh_000004,zh,0.751627504825592,neutral,0.842,neutral,0.9847114086151123,3.2502028942108154,21.49823570251465,0.8568480610847473,angry,0.0,surprised,0.9513341784477234,3.2377281188964844,20.83550262451172
zh_000005,zh,0.7816082835197449,sad,0.004,neutral,0.99172043800354,3.869852066040039,24.930124282836914,0.815212607383728,sad,0.447,neutral,0.9832082390785217,3.057072401046753,22.888317108154297
zh_000006,zh,0.7277870774269104,sad,0.013,sad,0.9895235896110535,4.00022029876709,25.136478424072266,0.7843263149261475,sad,0.0,sad,0.9698168039321899,2.9003705978393555,19.725921630859375
zh_000007,zh,0.7416720390319824,neutral,0.989,neutral,0.9232994914054871,2.636373519897461,9.926779747009277,0.8873012661933899,neutral,1.0,neutral,0.9675765633583069,3.1699931621551514,18.483551025390625
zh_000008,zh,0.7663322687149048,fearful,0.004,angry,0.9856783747673035,3.0939111709594727,17.012474060058594,0.8433734774589539,fearful,0.0,angry,0.9892450571060181,3.361562728881836,21.681499481201172
zh_000009,zh,0.7249410152435303,neutral,0.99,neutral,0.9724112749099731,2.8233518600463867,17.13119888305664,0.6383194923400879,neutral,0.948,neutral,0.9566805958747864,2.8468332290649414,14.053396224975586
en_000000,en,0.5958201289176941,sad,0.003,emo_unknown,0.8004447221755981,2.9284472465515137,16.05865478515625,0.7407828569412231,sad,0.001,emo_unknown,0.8352992534637451,2.658949375152588,14.869147300720215
en_000001,en,0.5091520547866821,sad,0.0,emo_unknown,0.723475456237793,1.7253758907318115,5.892786979675293,0.5943715572357178,fearful,0.001,emo_unknown,0.911945104598999,2.087709426879883,19.426067352294922
en_000002,en,0.5556110739707947,sad,0.0,emo_unknown,0.21262195706367493,1.202612280845642,-18.08017349243164,0.731744647026062,disgusted,0.0,emo_unknown,0.820776641368866,2.203709363937378,11.50011920928955
en_000003,en,0.7294559478759766,happy,0.0,happy,0.6729399561882019,1.2625606060028076,-8.568795204162598,0.6540940403938293,happy,0.0,emo_unknown,0.8287137746810913,3.214843511581421,15.711541175842285
en_000048,en,0.2512628734111786,surprised,0.0,emo_unknown,0.9594825506210327,3.8683440685272217,21.410518646240234,0.7374540567398071,happy,0.0,emo_unknown,0.843393862247467,2.079785108566284,11.889801025390625
en_000049,en,0.1924663931131363,sad,0.011,emo_unknown,0.924485445022583,2.193882465362549,7.509334564208984,0.7457730174064636,disgusted,0.0,emo_unknown,0.8760668039321899,1.7491084337234497,5.721304416656494
en_000050,en,0.49811580777168274,other,0.158,emo_unknown,0.9292173385620117,2.986908435821533,23.00948715209961,0.7223440408706665,sad,0.0,sad,0.8757401704788208,2.474863290786743,11.337801933288574
en_000051,en,0.5274911522865295,happy,0.0,emo_unknown,0.9034774303436279,1.1768546104431152,-16.367130279541016,0.6578707098960876,happy,0.0,emo_unknown,0.8806562423706055,1.5334365367889404,-2.2561585903167725
en_000096,en,0.37824547290802,<unk>,0.0,emo_unknown,0.8229445815086365,3.25557017326355,17.035045623779297,0.45292752981185913,other,0.003,emo_unknown,0.6734839677810669,1.2855383157730103,-3.687159776687622
en_000097,en,0.42028096318244934,disgusted,0.005,emo_unknown,0.7990650534629822,3.2652084827423096,8.382195472717285,0.5160092115402222,other,0.001,emo_unknown,0.5180161595344543,1.9667004346847534,6.10971212387085
